SKU,Nome,Preço,
80101,"Tapete de Couro Redondo - Colmeia - Metalizado - Redondo 1,00m Diâmetro",329,
80102,"Tapete de Couro Redondo - Colmeia - Metalizado - Redondo 1,20m Diâmetro",479,
80103,"Tapete de Couro Redondo - Colmeia - Metalizado - Redondo 1,40m Diâmetro",649,
80104,"Tapete de Couro Redondo - Colmeia - Metalizado - Redondo 1,60m Diâmetro",839,
80105,"Tapete de Couro Redondo - Colmeia - Metalizado - Redondo 1,80m Diâmetro",1069,
80106,"Tapete de Couro Redondo - Colmeia - Metalizado - Redondo 2,00m Diâmetro",1319,
80107,"Tapete de Couro Redondo - Colmeia - Metalizado - Redondo 2,50m Diâmetro",2059,
80108,"Tapete de Couro Redondo - Colmeia - Metalizado - Redondo 3,00m Diâmetro",2969,
8101-21,"Tapete de Couro Redondo - Cinza Escuro - Quadriculado 10x10 - Redondo 1,00m Diâmetro",179,
8102-21,"Tapete de Couro Redondo - Cinza Escuro - Quadriculado 10x10 - Redondo 1,20m Diâmetro",249,
8103-21,"Tapete de Couro Redondo - Cinza Escuro - Quadriculado 10x10 - Redondo 1,40m Diâmetro",339,
8104-21,"Tapete de Couro Redondo - Cinza Escuro - Quadriculado 10x10 - Redondo 1,60m Diâmetro",439,
8105-21,"Tapete de Couro Redondo - Cinza Escuro - Quadriculado 10x10 - Redondo 1,80m Diâmetro",559,
8106-21,"Tapete de Couro Redondo - Cinza Escuro - Quadriculado 10x10 - Redondo 2,00m Diâmetro",689,
8107-21,"Tapete de Couro Redondo - Cinza Escuro - Quadriculado 10x10 - Redondo 2,50m Diâmetro",1079,
8108-21,"Tapete de Couro Redondo - Cinza Escuro - Quadriculado 10x10 - Redondo 3,00m Diâmetro",1559,
8301-06,"Tapete de Couro Redondo - Preto e Branco Malhado - Quadriculado 10x10 - Redondo 1,00m Diâmetro",179,
8301-07,"Tapete de Couro Redondo - Marrom Avermelhado Malhado - Quadriculado 10x10 - Redondo 1,00m Diâmetro",179,
8301-13,"Tapete de Couro Redondo - Caramelo - Quadriculado 10x10 - Redondo 1,00m Diâmetro",179,
8301-14,"Tapete de Couro Redondo - Bege - Quadriculado 10x10 - Redondo 1,00m Diâmetro",179,
8301-15,"Tapete de Couro Redondo - Cinza - Quadriculado 10x10 - Redondo 1,00m Diâmetro",179,
8301-16,"Tapete de Couro Redondo - Preto e Branco Salpicado - Quadriculado 10x10 - Redondo 1,00m Diâmetro",179,
8301-35,"Tapete de Couro Redondo - Mix de Marrom, Branco e Cinza - Quadriculado 10x10 - Redondo 1,00m Diâmetro",179,
8302-06,"Tapete de Couro Redondo - Preto e Branco Malhado - Quadriculado 10x10 - Redondo 1,20m Diâmetro",249,
8302-07,"Tapete de Couro Redondo - Marrom Avermelhado Malhado - Quadriculado 10x10 - Redondo 1,20m Diâmetro",249,
8302-13,"Tapete de Couro Redondo - Caramelo - Quadriculado 10x10 - Redondo 1,20m Diâmetro",249,
8302-14,"Tapete de Couro Redondo - Bege - Quadriculado 10x10 - Redondo 1,20m Diâmetro",249,
8302-15,"Tapete de Couro Redondo - Cinza - Quadriculado 10x10 - Redondo 1,20m Diâmetro",249,
8302-16,"Tapete de Couro Redondo - Preto e Branco Salpicado - Quadriculado 10x10 - Redondo 1,20m Diâmetro",249,
8302-35,"Tapete de Couro Redondo - Mix de Marrom, Branco e Cinza - Quadriculado 10x10 - Redondo 1,20m Diâmetro",249,
8303-06,"Tapete de Couro Redondo - Preto e Branco Malhado - Quadriculado 10x10 - Redondo 1,40m Diâmetro",339,
8303-07,"Tapete de Couro Redondo - Marrom Avermelhado Malhado - Quadriculado 10x10 - Redondo 1,40m Diâmetro",339,
8303-13,"Tapete de Couro Redondo - Caramelo - Quadriculado 10x10 - Redondo 1,40m Diâmetro",339,
8303-14,"Tapete de Couro Redondo - Bege - Quadriculado 10x10 - Redondo 1,40m Diâmetro",339,
8303-15,"Tapete de Couro Redondo - Cinza - Quadriculado 10x10 - Redondo 1,40m Diâmetro",339,
8303-16,"Tapete de Couro Redondo - Preto e Branco Salpicado - Quadriculado 10x10 - Redondo 1,40m Diâmetro",339,
8303-35,"Tapete de Couro Redondo - Mix de Marrom, Branco e Cinza - Quadriculado 10x10 - Redondo 1,40m Diâmetro",339,
8304-06,"Tapete de Couro Redondo - Preto e Branco Malhado - Quadriculado 10x10 - Redondo 1,60m Diâmetro",439,
8304-07,"Tapete de Couro Redondo - Marrom Avermelhado Malhado - Quadriculado 10x10 - Redondo 1,60m Diâmetro",439,
8304-13,"Tapete de Couro Redondo - Caramelo - Quadriculado 10x10 - Redondo 1,60m Diâmetro",439,
8304-14,"Tapete de Couro Redondo - Bege - Quadriculado 10x10 - Redondo 1,60m Diâmetro",439,
8304-15,"Tapete de Couro Redondo - Cinza - Quadriculado 10x10 - Redondo 1,60m Diâmetro",439,
8304-16,"Tapete de Couro Redondo - Preto e Branco Salpicado - Quadriculado 10x10 - Redondo 1,60m Diâmetro",439,
8304-35,"Tapete de Couro Redondo - Mix de Marrom, Branco e Cinza - Quadriculado 10x10 - Redondo 1,60m Diâmetro",439,
8305-06,"Tapete de Couro Redondo - Preto e Branco Malhado - Quadriculado 10x10 - Redondo 1,80m Diâmetro",559,
8305-07,"Tapete de Couro Redondo - Marrom Avermelhado Malhado - Quadriculado 10x10 - Redondo 1,80m Diâmetro",559,
8305-13,"Tapete de Couro Redondo - Caramelo - Quadriculado 10x10 - Redondo 1,80m Diâmetro",559,
8305-14,"Tapete de Couro Redondo - Bege - Quadriculado 10x10 - Redondo 1,80m Diâmetro",559,
8305-15,"Tapete de Couro Redondo - Cinza - Quadriculado 10x10 - Redondo 1,80m Diâmetro",559,
8305-16,"Tapete de Couro Redondo - Preto e Branco Salpicado - Quadriculado 10x10 - Redondo 1,80m Diâmetro",559,
8305-35,"Tapete de Couro Redondo - Mix de Marrom, Branco e Cinza - Quadriculado 10x10 - Redondo 1,80m Diâmetro",559,
8306-06,"Tapete de Couro Redondo - Preto e Branco Malhado - Quadriculado 10x10 - Redondo 2,00m Diâmetro",689,
8306-07,"Tapete de Couro Redondo - Marrom Avermelhado Malhado - Quadriculado 10x10 - Redondo 2,00m Diâmetro",689,
8306-13,"Tapete de Couro Redondo - Caramelo - Quadriculado 10x10 - Redondo 2,00m Diâmetro",689,
8306-14,"Tapete de Couro Redondo - Bege - Quadriculado 10x10 - Redondo 2,00m Diâmetro",689,
8306-15,"Tapete de Couro Redondo - Cinza - Quadriculado 10x10 - Redondo 2,00m Diâmetro",689,
8306-16,"Tapete de Couro Redondo - Preto e Branco Salpicado - Quadriculado 10x10 - Redondo 2,00m Diâmetro",689,
8306-35,"Tapete de Couro Redondo - Mix de Marrom, Branco e Cinza - Quadriculado 10x10 - Redondo 2,00m Diâmetro",689,
8307-06,"Tapete de Couro Redondo - Preto e Branco Malhado - Quadriculado 10x10 - Redondo 2,50m Diâmetro",1079,
8307-07,"Tapete de Couro Redondo - Marrom Avermelhado Malhado - Quadriculado 10x10 - Redondo 2,50m Diâmetro",1079,
8307-13,"Tapete de Couro Redondo - Caramelo - Quadriculado 10x10 - Redondo 2,50m Diâmetro",1079,
8307-14,"Tapete de Couro Redondo - Bege - Quadriculado 10x10 - Redondo 2,50m Diâmetro",1079,
8307-15,"Tapete de Couro Redondo - Cinza - Quadriculado 10x10 - Redondo 2,50m Diâmetro",1079,
8307-16,"Tapete de Couro Redondo - Preto e Branco Salpicado - Quadriculado 10x10 - Redondo 2,50m Diâmetro",1079,
8307-35,"Tapete de Couro Redondo - Mix de Marrom, Branco e Cinza - Quadriculado 10x10 - Redondo 2,50m Diâmetro",1079,
8308-06,"Tapete de Couro Redondo - Preto e Branco Malhado - Quadriculado 10x10 - Redondo 3,00m Diâmetro",1559,
8308-07,"Tapete de Couro Redondo - Marrom Avermelhado Malhado - Quadriculado 10x10 - Redondo 3,00m Diâmetro",1559,
8308-13,"Tapete de Couro Redondo - Caramelo - Quadriculado 10x10 - Redondo 3,00m Diâmetro",1559,
8308-14,"Tapete de Couro Redondo - Bege - Quadriculado 10x10 - Redondo 3,00m Diâmetro",1559,
8308-15,"Tapete de Couro Redondo - Cinza - Quadriculado 10x10 - Redondo 3,00m Diâmetro",1559,
8308-16,"Tapete de Couro Redondo - Preto e Branco Salpicado - Quadriculado 10x10 - Redondo 3,00m Diâmetro",1559,
8308-35,"Tapete de Couro Redondo - Mix de Marrom, Branco e Cinza - Quadriculado 10x10 - Redondo 3,00m Diâmetro",1559,-
8701-10,"Tapete de Couro Redondo - Geométrico 3D - Marrom e Branco - Redondo 1,00m Diâmetro",269,
8701-11,"Tapete de Couro Redondo - Geométrico 3D - Branco e Marrom - Redondo 1,00m Diâmetro",269,
8701-12,"Tapete de Couro Redondo - Geométrico 3D - Cinza - Redondo 1,00m Diâmetro",269,
8702-10,"Tapete de Couro Redondo - Geométrico 3D - Marrom e Branco - Redondo 1,20m Diâmetro",389,
8702-11,"Tapete de Couro Redondo - Geométrico 3D - Branco e Marrom - Redondo 1,20m Diâmetro",389,
8702-12,"Tapete de Couro Redondo - Geométrico 3D - Cinza - Redondo 1,20m Diâmetro",389,
8703-10,"Tapete de Couro Redondo - Geométrico 3D - Marrom e Branco - Redondo 1,40m Diâmetro",529,
8703-11,"Tapete de Couro Redondo - Geométrico 3D - Branco e Marrom - Redondo 1,40m Diâmetro",529,
8703-12,"Tapete de Couro Redondo - Geométrico 3D - Cinza - Redondo 1,40m Diâmetro",529,
8704-10,"Tapete de Couro Redondo - Geométrico 3D - Marrom e Branco - Redondo 1,60m Diâmetro",679,
8704-11,"Tapete de Couro Redondo - Geométrico 3D - Branco e Marrom - Redondo 1,60m Diâmetro",679,
8704-12,"Tapete de Couro Redondo - Geométrico 3D - Cinza - Redondo 1,60m Diâmetro",679,
8705-10,"Tapete de Couro Redondo - Geométrico 3D - Marrom e Branco - Redondo 1,80m Diâmetro",879,
8705-11,"Tapete de Couro Redondo - Geométrico 3D - Branco e Marrom - Redondo 1,80m Diâmetro",879,
8705-12,"Tapete de Couro Redondo - Geométrico 3D - Cinza - Redondo 1,80m Diâmetro",879,
8706-10,"Tapete de Couro Redondo - Geométrico 3D - Marrom e Branco - Redondo 2,00m Diâmetro",1069,
8706-11,"Tapete de Couro Redondo - Geométrico 3D - Branco e Marrom - Redondo 2,00m Diâmetro",1069,
8706-12,"Tapete de Couro Redondo - Geométrico 3D - Cinza - Redondo 2,00m Diâmetro",1069,
8707-10,"Tapete de Couro Redondo - Geométrico 3D - Marrom e Branco - Redondo 2,50m Diâmetro",1699,
8707-11,"Tapete de Couro Redondo - Geométrico 3D - Branco e Marrom - Redondo 2,50m Diâmetro",1669,
8707-12,"Tapete de Couro Redondo - Geométrico 3D - Cinza - Redondo 2,50m Diâmetro",1669,
8708-10,"Tapete de Couro Redondo - Geométrico 3D - Marrom e Branco - Redondo 3,00m Diâmetro",2399,
8708-11,"Tapete de Couro Redondo - Geométrico 3D - Branco e Marrom - Redondo 3,00m Diâmetro",2399,
8708-12,"Tapete de Couro Redondo - Geométrico 3D - Cinza - Redondo 3,00m Diâmetro",2399,
COLMEIA_METALIZADO,Tapete de Couro Redondo - Colmeia - Metalizado,,
REDONDO_3D-1,Tapete de Couro Redondo - Geométrico 3D - Marrom e Branco,,
REDONDO_3D-2,Tapete de Couro Redondo - Geométrico 3D - Branco e Marrom,,
REDONDO_3D-3,Tapete de Couro Redondo - Geométrico 3D - Cinza,,
REDONDO_BEGE1,Tapete de Couro Redondo - Bege - Quadriculado 10x10,,
REDONDO_CARAMELO1,Tapete de Couro Redondo - Caramelo - Quadriculado 10x10,,
REDONDO_CINZA1,Tapete de Couro Redondo - Cinza - Quadriculado 10x10,,
REDONDO_CINZA-ESCURO,Tapete de Couro Redondo - Cinza Escuro - Quadriculado 10x10,,
REDONDO_MALHADO-VERMELHO1,Tapete de Couro Redondo - Marrom Avermelhado Malhado - Quadriculado 10x10,,
REDONDO_MIX-MARROM-BRANCO-CINZA,"Tapete de Couro Redondo - Mix de Marrom, Branco e Cinza - Quadriculado 10x10",,
REDONDO_PRETO-BRANCO-MALHADO,Tapete de Couro Redondo - Preto e Branco Malhado - Quadriculado 10x10,,
REDONDO_SALINO-PRETO-BRANCO,Tapete de Couro Redondo - Preto e Branco Salpicado - Quadriculado 10x10,,